Frame,Intensity
0,74.78921568627452
1,75.45314685314685
2,76.42036290322581
3,75.69139784946236
4,74.54495073891626
5,74.15974025974026
6,75.9329140461216
7,74.15932914046121
8,74.86862334032145
9,76.42609351432881
10,74.6009783368274
11,75.41928721174004
12,74.96438746438747
13,74.17190775681341
14,75.3391812865497
15,75.36022167487685
16,73.81493506493507
17,76.22402597402598
18,76.52372881355932
19,76.79002463054188
20,75.23611111111111
21,75.16298701298702
22,75.79805194805195
23,76.66959064327486
24,76.65215053763441
25,75.6766081871345
26,75.38494623655914
27,73.64745762711864
28,75.62481962481962
29,75.22799422799423
30,75.07744107744108
31,75.11888111888112
32,75.08321308321308
33,75.63776223776223
34,77.03368869936034
35,77.06293995859214
36,77.37344028520499
37,77.92153518123668
38,77.00846702317291
39,76.25074626865671
40,77.34625668449198
41,78.2319829424307
42,76.67036247334755
43,77.52629233511587
44,78.31257995735608
45,77.28297682709447
46,77.52878464818764
47,76.31130063965885
48,77.64306418219462
49,77.88998858012943
50,77.71469979296066
51,78.01490683229814
52,77.49448039588884
53,76.12008281573499
54,75.69206773618538
55,75.59872068230277
56,74.22843822843822
57,75.81236673773988
58,74.38550106609809
59,74.36720142602496
60,75.2111888111888
61,75.64009324009324
62,75.71476671476671
63,76.85425685425686
64,77.10332661290323
65,77.07762096774194
66,77.18470418470419
67,75.92261072261073
68,73.59740259740259
69,68.2867132867133
70,70.32307692307693
71,69.03869463869464
72,66.26340326340326
73,80.22430703624734
74,42.574840085287846
108,73.32369565217391
109,73.88739130434783
110,73.35913043478261
111,72.29546485260771
112,73.2108695652174
113,73.93741496598639
114,73.35238095238095
115,73.23484848484848
116,73.37695652173913
117,73.88347826086957
118,74.17608695652174
119,73.86608260325407
120,73.7569879015436
121,74.66729244889446
122,75.40258656654152
123,75.57738840216938
124,75.53671255736337
125,74.55632040050062
126,74.60888610763455
127,74.45556946182728
128,74.3619107217355
129,74.38610763454318
130,75.22611597830621
131,73.53922902494331
132,73.83214962121212
133,73.05844949865492
134,73.63083900226758
135,74.64376417233561
136,75.06462585034014
137,75.81587301587301
138,75.1221590909091
139,74.26302083333333
140,74.70975378787878
141,74.29640498899487
142,75.0687209586696
143,74.25678650036684
144,74.49645390070921
145,72.94987212276214
146,72.17672634271099
147,71.76803069053709
148,71.09411764705882
149,71.2693094629156
150,71.40843989769822
151,70.80639386189259
152,71.47877237851662
153,71.58618925831202
154,71.74859335038363
155,72.13350383631713
156,72.0230179028133
157,71.67161125319693
158,71.97621483375958
159,72.08746803069053
160,72.4150895140665
161,72.47442455242967
162,72.2153452685422
163,71.96751918158567
164,71.99923273657289
165,71.9994884910486
166,71.80383631713555
167,72.08657373440938
168,72.98319128787878
169,72.7605771582294
170,72.66153093665933
171,72.1851308388359
172,71.95964783565664
173,71.1063829787234
174,71.52922474932747
175,71.183908045977
176,71.30692100758131
177,70.47713377353877
178,71.31889204545455
179,71.39373930056249
180,71.54903399364147
181,72.32844216189777
182,70.33248081841433
183,70.15725116165322
184,70.9180728784544
185,70.88872584984104
186,71.26086956521739
187,71.35063938618926
188,71.59872122762148
189,71.84961636828645
190,71.00358056265985
191,71.40664961636828
192,71.48900255754475
193,71.4994884910486
194,71.99667519181585
195,72.06649616368287
196,71.7153452685422
197,72.24578136463683
198,72.74419173392027
199,73.4013206162876
200,71.36879432624113
201,72.64979212521399
202,73.0320371729029
203,73.87992174125704
204,73.1041819515774
205,73.62289068231841
206,73.68794326241135
207,74.1186109073123
208,74.06113964294448
209,74.69087796527268
210,73.61922230374175
211,74.0332599657618
212,73.88823673269748
213,73.71533382245048
214,73.58987527512839
215,73.1506480802152
216,73.92149669845928
217,74.14257764734654
218,73.28295426754708
219,73.03815113719736
220,73.04230863291758
221,72.3969185619956
222,72.62386891660553
223,72.67106872095867
224,73.13915382734164
225,72.56346294937637
226,73.09219858156028
227,73.1917339202739
228,73.4013206162876
229,73.22817314746882
230,72.840303252629
231,71.66240409207161
232,71.27365728900256
233,71.99565217391304
234,71.2076726342711
235,72.09611151870872
236,72.3969185619956
237,72.92271949131818
238,72.71680117388115
239,72.07605771582294
240,71.78087551968696
241,71.88184143222506
242,70.68312020460358
243,70.78081841432225
244,70.89190511127416
245,70.991195891416
246,71.97652237710932
247,72.44093910491563
248,72.20567375886525
249,72.9457079970653
250,72.32306187331866
251,72.86720469552458
252,72.98385913426266
253,72.98752751283932
254,73.06847640009782
255,72.25923208608462
256,71.97187576424554
257,71.60797260943995
258,71.45610173636587
259,71.55270237221815
260,71.49572022499389
261,71.70237221814625
262,72.38200048911715
263,71.80728784543898
264,72.80753240401076
265,72.51650770359501
266,71.62778185375397
267,71.840303252629
268,72.7018831010027
269,72.63438493519197
270,72.50501345072145
271,72.59598923942283
272,72.33577891905111
273,72.40670090486671
274,72.73856688676938
275,72.58376131083395
276,72.91195891415994
277,71.71176470588236
278,71.0762148337596
279,72.98752751283932
280,72.98923942284178
281,72.86304719980436
282,73.37368549767669
283,73.33137686475911
284,72.8092443140132
285,72.05893861579848
286,71.98337595907928
287,70.62924920518464
288,71.9965761799951
289,72.32330643189044
290,73.14869161164098
291,72.84984103692834
292,72.77256052824652
293,73.56786500366837
294,73.37319638053314
295,73.34996331621423
296,73.65761799951088
297,73.65028124235755
298,73.33626803619467
299,73.58571777940817
300,72.75128393250183
301,72.99144044998778
302,73.51724137931035
303,73.46025923208609
304,73.19442406456346
305,73.30741012472487
306,73.59916850085595
307,73.2117877231597
308,72.37906578625581
309,71.98951406649617
310,71.67718268525311
311,71.74516996820739
312,71.57691367082417
313,72.25238444607483
314,72.1286378087552
315,72.14918072878454
316,72.98092443140132
317,72.70212765957447
318,72.52237710931769
319,73.34580582049401
320,72.93274639276106
321,72.23037417461482
322,72.15480557593544
323,72.33382245047689
324,72.6940572267058
325,72.65957446808511
326,72.93445830276352
327,72.16898997309856
328,72.61115187087307
329,72.14233308877476
330,72.10100269014428
331,71.7728050868183
332,71.33211054047445
333,71.02518953289312
334,71.71826852531181
335,71.37099535338713
336,71.20763022743947
