Frame,Intensity,Final_BPM
0,93.53411306042885,21.27450980392157
1,93.42884990253411,21.27450980392157
2,91.46490147783251,21.27450980392157
3,91.05145278450364,21.27450980392157
4,90.75665859564165,21.27450980392157
5,90.79237288135593,21.27450980392157
6,90.47699757869249,21.27450980392157
7,90.27524630541872,21.27450980392157
8,90.8365617433414,21.27450980392157
9,92.33147942157953,21.27450980392157
10,92.52586206896552,21.27450980392157
11,92.87597330367075,21.27450980392157
12,92.85919540229885,21.27450980392157
13,92.75242130750605,21.27450980392157
14,92.87530266343826,21.27450980392157
15,93.06302794022092,21.27450980392157
16,93.2488628979857,21.27450980392157
17,93.55295646523717,21.27450980392157
18,94.09478021978022,21.27450980392157
19,94.0669265756985,21.27450980392157
20,94.21702404158545,21.27450980392157
21,94.31650246305419,21.27450980392157
22,93.05418719211822,21.27450980392157
23,92.07635467980296,21.27450980392157
24,91.4273607748184,21.27450980392157
25,91.25121065375302,21.27450980392157
26,90.9727602905569,21.27450980392157
27,90.53995157384988,21.27450980392157
28,90.25302663438256,21.27450980392157
29,90.681598062954,21.27450980392157
30,92.21973365617433,21.27450980392157
31,92.52058111380146,21.27450980392157
32,92.83251231527093,21.27450980392157
33,93.14619883040936,21.27450980392157
34,93.29109811565952,21.27450980392157
35,92.92672413793103,21.27450980392157
36,93.31551724137931,21.27450980392157
37,93.17701149425288,21.27450980392157
38,91.8919540229885,21.27450980392157
39,91.22126436781609,21.27450980392157
40,91.05145278450364,21.27450980392157
41,92.44188861985472,21.27450980392157
42,93.23789346246973,21.27450980392157
43,92.78087167070218,21.27450980392157
44,93.31537530266344,21.27450980392157
45,93.48728813559322,21.27450980392157
46,94.23152709359606,21.27450980392157
47,94.26231527093596,21.27450980392157
48,94.5672514619883,21.27450980392157
49,94.38793103448276,21.27450980392157
50,94.85774818401937,21.27450980392157
51,94.73953201970443,21.27450980392157
52,94.92675544794189,21.27450980392157
53,94.72336561743342,21.27450980392157
54,94.2204433497537,21.27450980392157
55,93.51029055690073,21.27450980392157
56,92.86501210653753,21.27450980392157
57,92.0956416464891,21.27450980392157
58,91.43280871670702,21.27450980392157
