Frame,Time_sec,Intensity,Final_BPM
0,0.0,82.20098039215686,23.183760683760678
1,0.055299539170506916,82.00816993464052,23.183760683760678
2,0.11059907834101383,80.52668845315904,23.183760683760678
3,0.16589861751152074,79.64322469982848,23.183760683760678
4,0.22119815668202766,80.21038961038961,23.183760683760678
5,0.2764976958525346,80.47948051948052,23.183760683760678
6,0.3317972350230415,79.85403050108933,23.183760683760678
7,0.38709677419354843,79.2652944539737,23.183760683760678
8,0.4423963133640553,79.9400871459695,23.183760683760678
9,0.4976958525345622,81.41394335511983,23.183760683760678
10,0.5529953917050692,81.21270396270397,23.183760683760678
11,0.6082949308755761,81.55174385363064,23.183760683760678
12,0.663594470046083,81.64036592338479,23.183760683760678
13,0.7188940092165899,81.40359477124183,23.183760683760678
14,0.7741935483870969,81.5702614379085,23.183760683760678
15,0.8294930875576038,81.23717948717949,23.183760683760678
16,0.8847926267281107,81.40967365967366,23.183760683760678
17,0.9400921658986175,82.04974271012007,23.183760683760678
18,0.9953917050691244,82.5288736420812,23.183760683760678
19,1.0506912442396314,83.06318082788671,23.183760683760678
20,1.1059907834101383,83.3099128540305,23.183760683760678
21,1.1612903225806452,83.3970588235294,23.183760683760678
22,1.2165898617511521,82.48856209150327,23.183760683760678
23,1.271889400921659,81.85558441558442,23.183760683760678
24,1.327188940092166,81.21454545454546,23.183760683760678
25,1.3824884792626728,80.72385620915033,23.183760683760678
26,1.4377880184331797,79.8947970268725,23.183760683760678
27,1.4930875576036868,79.5414522584334,23.183760683760678
28,1.5483870967741937,79.38250428816467,23.183760683760678
29,1.6036866359447006,79.65065751858205,23.183760683760678
30,1.6589861751152075,81.07146941109205,23.183760683760678
31,1.7142857142857144,81.33741258741259,23.183760683760678
32,1.7695852534562213,81.49417249417249,23.183760683760678
33,1.8248847926267282,81.57983682983684,23.183760683760678
34,1.880184331797235,81.97941680960548,23.183760683760678
35,1.935483870967742,81.78273299028017,23.183760683760678
36,1.9907834101382489,82.35675381263617,23.183760683760678
37,2.046082949308756,82.34967320261438,23.183760683760678
38,2.101382488479263,80.87078330474557,23.183760683760678
39,2.1566820276497696,80.41052029731274,23.183760683760678
40,2.2119815668202767,79.90734265734265,23.183760683760678
41,2.2672811059907834,81.94716775599129,23.183760683760678
42,2.3225806451612905,82.80664488017429,23.183760683760678
43,2.3778801843317976,82.27886710239652,23.183760683760678
44,2.4331797235023043,82.66339869281046,23.183760683760678
45,2.4884792626728114,82.61002178649237,23.183760683760678
46,2.543778801843318,83.1915380217267,23.183760683760678
