Frame,Intensity,Final_BPM
0,91.09303278688525,0
1,90.98360655737704,0
2,89.90901639344263,0
3,89.23885109599395,0
4,89.18253968253968,0
5,89.33597883597884,0
6,89.12273800157357,0
7,89.07254098360656,0
8,89.34713114754098,0
9,90.36229508196722,0
10,90.4119425547997,0
11,90.72909836065574,0
12,90.82581967213115,0
13,90.31330309901739,0
14,90.42365835222978,0
15,90.71926229508196,0
16,90.87418032786886,0
17,91.22950819672131,0
18,91.37844217151849,0
19,91.65066876475217,0
20,91.76750590086546,0
21,91.7792894935752,0
22,91.1334089191232,0
23,90.50826121164438,0
24,89.93575207860923,0
25,89.80309901738474,0
26,89.5124716553288,0
27,89.19501133786848,0
28,89.05631141345427,0
29,89.30725623582767,0
30,90.22826908541194,0
