Frame,Intensity
0,110.5062962962963
1,110.59703703703704
2,111.04814814814814
3,110.68923734853884
4,110.48296296296296
5,110.59851851851852
6,111.25111111111111
7,109.98370370370371
8,108.73151001540832
9,107.78555555555556
10,107.17177476835353
11,106.80826822916667
12,106.80848484848485
13,108.0291234140715
14,108.20568561872909
15,108.1820987654321
16,108.38760288065843
17,107.70690476190477
18,102.2842617152962
19,103.81906496660595
20,101.45357985837923
21,96.06537138231127
22,100.70003933910307
23,105.04226560823858
24,107.25198938992042
25,107.98369448616177
26,108.45054709289852
27,108.90023600085819
28,108.51912568306011
29,109.15661875134091
30,108.48188625784255
31,106.97328476017
32,106.18781623153208
33,105.80914794575997
34,105.49783634933124
35,105.14065978546853
36,106.03520849724626
37,106.60473588342441
38,107.08123524783635
39,107.68646734854445
40,108.29629629629629
41,108.2802343159486
42,108.34520489165415
43,108.77770083102493
44,108.39095238095238
45,107.77263374485597
46,107.27777777777777
47,106.83063511830635
48,107.24034869240349
49,107.22291407222914
50,107.35566625155666
51,107.66625155666252
52,106.8293897882939
53,105.7579732510288
54,105.20961934156378
55,104.57683686176837
56,104.372170781893
57,104.4375
58,104.01469489414696
59,104.11581569115816
60,105.06226650062267
61,105.6170267489712
62,106.09927983539094
63,106.0288409703504
64,106.14660493827161
65,106.63989218328841
66,106.92129380053909
67,106.80781671159029
68,107.07302118171684
69,107.3644204851752
70,107.12371967654987
71,107.6099730458221
72,106.76253369272237
73,105.88425925925925
74,104.47119341563786
75,103.42506738544475
76,103.52520576131687
77,104.24283935242839
78,105.68571428571428
79,106.05701754385964
80,105.73541114058355
81,105.63594164456234
82,105.27677746999076
83,105.34095238095239
84,105.69119047619047
85,105.98690476190477
86,105.88617683686176
87,106.01536388140161
